Action1,S2,Action2,Re,subject,round,rt2
2,3,2,2,279,1,0
2,4,2,2,279,2,0
2,4,2,4,279,3,0
2,3,2,2,279,4,0
2,3,2,-1,279,5,1
2,3,1,3,279,6,0
2,3,1,2,279,7,1
2,3,2,0,279,8,0
2,3,2,-4,279,9,1
2,3,2,-5,279,10,0
2,3,1,-4,279,11,0
2,3,1,-1,279,12,1
2,3,1,-2,279,13,0
1,2,1,-4,279,14,0
1,2,1,-4,279,15,0
1,4,1,-3,279,16,0
2,3,1,1,279,17,1
1,2,2,4,279,18,0
2,3,1,-1,279,19,1
1,2,2,5,279,20,0
1,4,1,1,279,21,0
1,2,2,3,279,22,1
1,2,2,5,279,23,1
1,2,2,5,279,24,1
1,2,2,4,279,25,1
1,2,2,3,279,26,1
1,2,2,4,279,27,1
1,2,2,1,279,28,1
1,2,2,2,279,29,0
1,2,2,4,279,30,0
1,2,2,5,279,31,1
2,3,1,-3,279,32,0
1,2,2,3,279,33,0
1,2,2,4,279,34,0
1,4,2,-2,279,35,1
1,2,1,4,279,36,0
1,2,1,4,279,37,0
1,2,1,4,279,38,1
1,4,1,-1,279,39,1
1,2,2,1,279,40,1
2,3,1,-2,279,41,0
1,2,1,5,279,42,1
1,2,1,5,279,43,0
1,2,1,4,279,44,0
1,4,1,0,279,45,1
1,4,2,4,279,46,0
1,2,1,4,279,47,1
2,3,1,-2,279,48,1
1,2,1,2,279,49,1
1,2,1,3,279,50,0
1,2,1,1,279,51,0
2,4,1,-4,279,52,0
2,3,1,-4,279,53,0
1,2,2,-4,279,54,0
2,3,1,-3,279,55,1
1,2,1,1,279,56,0
1,2,1,5,279,57,0
1,4,1,-3,279,58,0
1,2,2,-1,279,59,1
1,4,2,0,279,60,1
1,2,1,5,279,61,1
1,2,2,-3,279,62,1
1,2,1,4,279,63,0
1,2,2,-2,279,64,0
1,2,1,3,279,65,1
1,2,1,4,279,66,0
1,2,1,5,279,67,1
1,2,1,2,279,68,0
1,2,1,1,279,69,0
1,2,2,-3,279,70,0
1,2,1,1,279,71,1
2,4,1,-4,279,72,0
1,2,1,2,279,73,0
1,2,1,3,279,74,0
1,2,1,3,279,75,0
1,2,1,2,279,76,1
1,2,1,2,279,77,1
1,2,1,2,279,78,1
1,4,1,1,279,79,1
1,2,1,4,279,80,1
1,2,2,-3,279,81,1
1,2,1,1,279,82,1
1,2,1,1,279,83,1
1,2,1,2,279,84,1
1,2,1,0,279,85,0
1,2,1,2,279,86,1
1,2,1,1,279,87,1
1,2,1,1,279,88,1
1,2,1,4,279,89,0
1,2,1,1,279,90,1
1,2,2,3,279,91,0
1,2,1,3,279,92,0
1,2,2,4,279,93,1
1,2,1,1,279,94,0
1,2,1,0,279,95,0
1,2,2,3,279,96,0
1,2,2,4,279,97,0
1,2,2,3,279,98,0
1,2,1,2,279,99,0
1,2,2,3,279,100,1
1,4,1,-3,279,101,1
1,4,2,-4,279,102,1
1,2,2,2,279,103,1
1,2,2,4,279,104,0
2,3,1,4,279,105,0
2,3,1,4,279,106,0
1,2,2,4,279,107,0
2,3,1,5,279,108,0
2,4,1,5,279,109,0
1,2,1,0,279,110,0
1,2,2,2,279,111,1
1,2,1,-2,279,112,1
2,3,1,0,279,113,0
1,4,1,3,279,114,0
2,4,1,4,279,115,0
2,3,1,5,279,116,0
1,2,2,2,279,117,1
1,4,2,-5,279,118,0
2,4,1,1,279,119,0
2,3,1,4,279,120,1
2,3,1,4,279,121,0
2,3,1,5,279,122,0
2,3,1,5,279,123,1
1,2,1,2,279,124,1
2,3,1,4,279,125,1
1,2,1,-4,50,1,0
2,3,1,-3,50,2,0
2,4,1,5,50,3,0
2,4,1,1,50,4,1
2,3,1,-4,50,5,1
1,2,1,-2,50,6,1
1,2,1,-3,50,7,1
1,4,1,0,50,8,1
1,2,2,-5,50,9,1
1,2,1,0,50,10,0
1,2,1,0,50,11,1
2,3,1,-5,50,12,0
2,3,1,-4,50,13,0
1,2,1,-1,50,14,1
1,2,1,0,50,15,1
1,2,1,1,50,16,1
1,2,1,2,50,17,1
1,2,1,3,50,18,1
1,4,1,-5,50,19,1
1,4,1,-5,50,20,1
1,2,1,4,50,21,1
1,2,1,3,50,22,0
1,2,1,1,50,23,0
1,2,1,-1,50,24,0
1,4,1,-3,50,25,1
1,2,1,-1,50,26,1
1,4,1,-1,50,27,1
1,2,1,-2,50,28,1
1,4,1,3,50,29,1
1,2,1,3,50,30,0
1,2,1,3,50,31,0
1,2,1,4,50,32,0
1,2,1,3,50,33,0
1,4,1,5,50,34,0
1,2,1,5,50,35,0
1,2,1,3,50,36,0
1,2,1,-1,50,37,0
1,2,1,-3,50,38,0
1,2,1,-1,50,39,0
1,2,1,-2,50,40,1
1,2,2,-1,50,41,0
1,2,2,-4,50,42,0
1,2,2,-4,50,43,0
1,2,2,-5,50,44,0
2,3,2,2,50,45,1
1,2,1,-1,50,46,0
1,2,2,-5,50,47,0
1,2,2,-4,50,48,1
2,3,2,0,50,49,0
2,4,2,-4,50,50,0
2,3,2,2,50,51,0
2,3,2,1,50,52,0
2,3,2,3,50,53,1
2,4,2,-2,50,54,1
2,3,2,4,50,55,1
2,3,2,3,50,56,1
2,4,2,-2,50,57,1
2,3,1,0,50,58,0
2,3,2,-1,50,59,0
2,4,2,-5,50,60,0
1,2,2,2,50,61,1
1,2,2,3,50,62,1
1,2,2,3,50,63,1
1,4,1,1,50,64,1
1,2,2,5,50,65,1
2,3,2,-2,50,66,1
2,4,2,-2,50,67,1
1,2,2,-1,50,68,0
1,2,2,-4,50,69,0
1,2,2,-4,50,70,0
1,2,2,-5,50,71,1
2,4,2,0,50,72,0
2,3,2,3,50,73,1
2,3,2,3,50,74,1
2,3,2,3,50,75,1
2,3,2,4,50,76,1
2,3,1,-4,50,77,0
2,3,2,3,50,78,1
1,2,2,1,50,79,1
1,2,2,2,50,80,0
1,2,1,3,50,81,0
2,3,2,3,50,82,0
1,4,2,2,50,83,0
2,3,1,1,50,84,1
2,3,1,-1,50,85,1
1,4,1,-2,50,86,0
2,3,2,4,50,87,1
2,3,2,5,50,88,1
2,4,1,1,50,89,1
1,2,2,-3,50,90,0
2,4,2,0,50,91,1
2,4,2,1,50,92,1
2,3,2,3,50,93,1
2,4,2,3,50,94,1
2,3,2,5,50,95,1
2,3,2,3,50,96,1
2,3,2,5,50,97,0
2,3,2,3,50,98,0
1,4,2,-2,50,99,0
2,3,2,5,50,100,0
2,3,2,4,50,101,0
1,2,2,-2,50,102,0
2,4,2,-1,50,103,1
1,2,1,3,50,104,0
1,2,1,4,50,105,0
1,2,1,4,50,106,0
1,4,1,4,50,107,0
2,3,1,2,50,108,0
2,3,1,3,50,109,1
1,4,1,3,50,110,1
1,2,1,4,50,111,1
2,3,2,-1,50,112,1
2,3,2,1,50,113,0
2,3,2,4,50,114,1
2,3,2,2,50,115,1
2,3,2,3,50,116,0
2,3,2,1,50,117,0
2,3,2,0,50,118,0
1,2,1,4,50,119,1
1,2,1,3,50,120,1
1,2,1,3,50,121,1
1,2,1,1,50,122,1
1,2,1,1,50,123,1
1,2,1,1,50,124,1
1,2,1,4,50,125,1
2,4,2,0,459,1,0
1,2,2,0,459,2,1
1,2,2,0,459,3,1
1,2,1,-3,459,4,0
1,4,1,-3,459,5,0
1,2,1,1,459,6,0
1,4,1,-3,459,7,1
1,2,1,1,459,8,1
1,4,1,-2,459,9,0
2,3,2,-4,459,10,0
2,3,1,2,459,11,0
2,3,1,1,459,12,1
2,3,1,4,459,13,1
2,3,1,3,459,14,0
2,3,1,4,459,15,0
2,4,1,-2,459,16,1
