Action1,S2,Action2,Re,subject,round
2,3,2,-3,668,1
1,4,1,-2,668,2
1,2,1,4,668,3
1,2,1,3,668,4
1,2,1,3,668,5
1,2,1,4,668,6
1,2,1,4,668,7
1,2,1,3,668,8
1,2,1,4,668,9
1,2,1,3,668,10
1,4,1,0,668,11
1,2,1,0,668,12
1,2,1,-2,668,13
1,2,2,-4,668,14
1,2,1,-2,668,15
2,3,1,0,668,16
2,4,1,4,668,17
2,4,1,5,668,18
2,4,1,4,668,19
1,4,1,4,668,20
2,3,1,0,668,21
2,3,1,-1,668,22
1,2,1,-4,668,23
1,2,1,-5,668,24
1,2,1,-5,668,25
1,2,2,0,668,26
2,3,1,-5,668,27
1,2,2,-2,668,28
2,3,1,0,668,29
2,3,1,1,668,30
2,3,1,1,668,31
2,3,1,3,668,32
2,4,1,2,668,33
2,4,1,3,668,34
2,4,1,3,668,35
2,4,1,5,668,36
2,3,1,4,668,37
2,3,1,5,668,38
2,3,1,4,668,39
2,3,1,4,668,40
2,3,1,4,668,41
2,3,1,2,668,42
2,4,1,-1,668,43
2,3,1,4,668,44
2,4,1,-3,668,45
2,3,1,3,668,46
2,3,1,1,668,47
2,4,1,-4,668,48
2,3,1,0,668,49
2,4,2,-5,668,50
2,3,1,-1,668,51
2,3,1,-4,668,52
1,2,1,2,668,53
1,2,1,-1,668,54
1,2,1,-2,668,55
1,2,2,-2,668,56
1,2,1,-5,668,57
1,2,2,0,668,58
1,2,2,0,668,59
1,2,2,2,668,60
1,2,2,3,668,61
1,2,2,4,668,62
1,2,2,3,668,63
1,2,2,3,668,64
1,4,2,3,668,65
1,2,2,2,668,66
1,2,2,2,668,67
1,2,2,1,668,68
1,4,2,-1,668,69
1,4,2,1,668,70
1,2,2,-1,668,71
1,2,2,1,668,72
1,2,2,0,668,73
1,4,2,-1,668,74
1,2,2,-1,668,75
1,4,2,-2,668,76
1,2,2,-1,668,77
1,2,2,1,668,78
1,2,2,2,668,79
1,2,2,2,668,80
1,4,2,-3,668,81
1,2,2,3,668,82
1,2,2,1,668,83
1,4,1,3,668,84
1,2,2,-2,668,85
1,2,2,2,668,86
1,2,2,3,668,87
1,2,2,5,668,88
1,2,2,2,668,89
1,2,2,1,668,90
1,4,1,-1,668,91
1,2,2,2,668,92
1,4,1,0,668,93
1,2,2,-4,668,94
1,2,2,-5,668,95
2,3,2,-1,668,96
1,4,1,3,668,97
2,3,2,2,668,98
2,3,2,3,668,99
2,3,2,4,668,100
2,3,2,2,668,101
2,3,2,2,668,102
2,3,2,3,668,103
2,4,1,3,668,104
2,3,2,4,668,105
2,3,2,2,668,106
2,4,1,5,668,107
2,3,2,3,668,108
2,3,2,5,668,109
2,3,2,3,668,110
2,3,2,2,668,111
2,3,2,2,668,112
2,3,2,2,668,113
2,3,2,2,668,114
2,4,2,-4,668,115
2,3,2,0,668,116
2,4,1,4,668,117
2,3,2,0,668,118
2,3,2,2,668,119
2,3,2,0,668,120
2,3,2,-1,668,121
2,3,1,0,668,122
2,3,1,1,668,123
2,3,1,1,668,124
2,3,1,-1,668,125
2,3,1,-4,668,126
2,3,2,1,668,127
2,3,2,0,668,128
2,3,1,-4,668,129
2,4,1,0,668,130
2,4,2,5,668,131
2,3,2,4,668,132
2,3,2,5,668,133
2,3,2,3,668,134
2,3,2,4,668,135
2,4,2,2,668,136
2,3,2,5,668,137
2,3,2,3,668,138
2,3,2,5,668,139
2,3,2,5,668,140
2,3,2,4,668,141
2,3,2,4,668,142
2,3,2,4,668,143
2,4,2,-3,668,144
2,3,2,3,668,145
2,3,2,2,668,146
2,3,2,0,668,147
2,3,2,-2,668,148
2,3,2,-4,668,149
2,4,1,-2,668,150
2,3,2,-4,668,151
2,3,1,3,668,152
2,3,1,2,668,153
2,3,1,2,668,154
2,3,1,1,668,155
2,4,1,-4,668,156
2,3,1,3,668,157
2,3,1,3,668,158
2,4,1,4,668,159
2,4,1,4,668,160
2,3,1,0,668,161
2,3,1,-1,668,162
2,3,1,-3,668,163
2,3,2,3,668,164
2,3,2,3,668,165
2,3,2,2,668,166
2,3,2,4,668,167
2,4,1,2,668,168
2,3,2,5,668,169
2,3,2,4,668,170
2,3,2,5,668,171
2,3,2,4,668,172
2,3,2,3,668,173
2,3,2,3,668,174
2,3,2,3,668,175
2,3,2,-3,822,1
2,4,1,-1,822,2
1,2,2,-5,822,3
1,2,1,-3,822,4
2,3,1,4,822,5
2,3,1,4,822,6
2,3,1,3,822,7
2,3,1,-1,822,8
2,4,1,1,822,9
2,4,1,4,822,10
2,3,1,-1,822,11
2,3,1,-3,822,12
2,3,1,0,822,13
1,2,2,-3,822,14
2,4,1,-1,822,15
2,4,1,0,822,16
2,3,1,-4,822,17
2,3,2,-4,822,18
2,3,2,-4,822,19
2,4,1,2,822,20
2,4,1,4,822,21
1,4,1,4,822,22
1,2,1,0,822,23
1,4,1,2,822,24
1,2,1,-1,822,25
1,2,1,-2,822,26
1,2,1,-4,822,27
2,4,1,-1,822,28
1,2,1,-1,822,29
1,2,1,0,822,30
1,2,1,0,822,31
1,2,1,2,822,32
1,2,1,2,822,33
1,2,1,-1,822,34
1,4,1,4,822,35
1,4,1,2,822,36
1,2,1,-1,822,37
1,4,2,4,822,38
1,4,2,5,822,39
1,2,2,4,822,40
1,4,2,4,822,41
1,2,2,4,822,42
1,2,2,2,822,43
1,2,2,3,822,44
1,2,2,3,822,45
