Action1,S2,Action2,Re,subject,round
1,4,1,2,997,1
1,2,1,0,997,2
1,2,1,2,997,3
1,2,1,2,997,4
1,2,1,1,997,5
2,3,1,4,997,6
2,3,1,4,997,7
2,4,2,0,997,8
2,4,2,3,997,9
1,2,2,-4,997,10
2,3,2,5,997,11
2,4,2,1,997,12
2,3,1,4,997,13
2,3,2,4,997,14
2,3,2,4,997,15
2,4,2,5,997,16
2,3,1,3,997,17
2,3,2,0,997,18
2,3,2,-1,997,19
2,3,2,-1,997,20
2,3,2,-3,997,21
2,3,2,-3,997,22
1,2,1,-2,997,23
2,3,1,4,997,24
2,3,1,5,997,25
2,3,1,2,997,26
2,3,1,4,997,27
2,3,1,2,997,28
2,4,1,-2,997,29
2,3,1,4,997,30
2,3,1,3,997,31
2,4,1,2,997,32
2,3,1,0,997,33
2,3,1,-4,997,34
2,4,1,2,997,35
2,3,1,-3,997,36
2,3,1,-4,997,37
2,3,1,-5,997,38
2,3,1,-2,997,39
2,3,1,1,997,40
2,3,1,4,997,41
2,3,1,4,997,42
2,3,1,5,997,43
2,3,1,2,997,44
2,4,1,5,997,45
2,3,1,0,997,46
2,3,1,4,997,47
2,3,1,2,997,48
2,3,1,2,997,49
2,3,1,2,997,50
2,3,1,0,997,51
2,3,1,-3,997,52
1,2,1,3,997,53
2,3,1,-2,997,54
1,2,1,3,997,55
1,2,2,-4,997,56
1,2,2,-3,997,57
1,2,1,3,997,58
1,4,1,2,997,59
1,2,1,4,997,60
1,2,1,0,997,61
1,2,1,-1,997,62
1,4,1,4,997,63
1,2,1,2,997,64
1,4,1,2,997,65
1,2,1,-5,997,66
2,3,1,-4,997,67
2,3,1,-4,997,68
1,2,1,-4,997,69
1,4,1,0,997,70
1,4,1,2,997,71
1,2,1,-3,997,72
1,4,1,-2,997,73
1,2,1,-2,997,74
2,3,1,1,997,75
2,4,1,-1,997,76
2,3,1,-4,997,77
1,2,1,-4,997,78
1,2,1,-2,997,79
2,3,2,5,997,80
2,3,2,1,997,81
2,3,2,2,997,82
2,3,2,3,997,83
2,3,2,1,997,84
2,3,2,0,997,85
2,3,2,0,997,86
2,3,2,-1,997,87
2,3,2,0,997,88
2,3,2,2,997,89
2,3,2,2,997,90
2,3,2,2,997,91
2,3,2,4,997,92
2,3,2,1,997,93
2,3,2,-2,997,94
2,3,2,0,997,95
2,3,2,-1,997,96
2,4,2,5,997,97
2,4,2,4,997,98
2,3,2,3,997,99
2,3,2,0,997,100
2,3,2,2,997,101
1,2,2,4,997,102
2,3,2,0,997,103
2,3,2,0,997,104
2,3,2,2,997,105
2,3,2,-1,997,106
2,3,2,-2,997,107
2,3,2,-4,997,108
2,3,2,-4,997,109
2,3,2,-2,997,110
2,4,2,0,997,111
1,4,2,3,997,112
1,4,2,3,997,113
1,2,2,0,997,114
2,3,2,-5,997,115
1,2,2,-4,997,116
1,2,2,-4,997,117
1,2,2,-1,997,118
2,3,2,-3,997,119
2,4,2,3,997,120
1,2,2,2,997,121
1,2,2,2,997,122
2,3,2,-1,997,123
2,3,2,-4,997,124
1,4,2,1,997,125
1,2,2,-1,997,126
1,2,2,0,997,127
1,2,2,0,997,128
1,2,2,3,997,129
1,2,2,4,997,130
1,2,2,3,997,131
1,2,2,4,997,132
1,2,2,3,997,133
1,2,2,4,997,134
1,2,2,4,997,135
1,2,2,4,997,136
1,2,2,4,997,137
1,2,2,3,997,138
1,2,2,3,997,139
1,2,2,5,997,140
1,4,2,4,997,141
1,4,2,0,997,142
1,2,2,0,997,143
1,2,2,1,997,144
1,2,2,-3,997,145
1,2,2,-4,997,146
1,4,2,4,997,147
1,2,2,-5,997,148
1,2,2,-5,997,149
1,2,2,-4,997,150
1,2,2,-3,997,151
1,4,2,3,997,152
1,2,2,1,997,153
1,4,2,5,997,154
1,2,2,1,997,155
1,4,2,5,997,156
1,2,2,-1,997,157
1,2,2,-1,997,158
1,2,2,0,997,159
1,4,2,3,997,160
1,4,2,1,997,161
1,2,2,1,997,162
1,2,2,-3,997,163
1,4,2,2,997,164
1,2,2,-3,997,165
1,2,2,-3,997,166
1,2,2,-4,997,167
1,2,2,-1,997,168
1,2,1,-1,997,169
1,4,2,-4,997,170
1,2,2,2,997,171
1,4,2,0,997,172
2,3,2,-1,997,173
2,3,1,-4,997,174
1,2,2,2,997,175
2,3,2,-2,89,1
1,2,2,5,89,2
1,2,2,3,89,3
1,2,2,3,89,4
1,2,1,-4,89,5
1,2,2,2,89,6
1,2,2,4,89,7
1,2,2,3,89,8
1,2,2,3,89,9
1,2,2,3,89,10
2,3,1,4,89,11
2,3,1,3,89,12
2,3,1,0,89,13
2,3,1,4,89,14
2,3,1,4,89,15
2,3,1,4,89,16
2,4,1,-1,89,17
2,3,1,5,89,18
2,3,1,4,89,19
2,3,1,3,89,20
2,3,1,4,89,21
2,3,1,4,89,22
2,3,1,4,89,23
2,3,1,5,89,24
2,3,1,3,89,25
2,3,1,3,89,26
2,3,1,0,89,27
1,2,2,4,89,28
1,2,2,4,89,29
1,2,2,3,89,30
1,2,2,0,89,31
1,2,2,-4,89,32
2,3,2,3,89,33
2,4,2,-1,89,34
2,4,2,-3,89,35
2,4,1,-5,89,36
2,4,2,-2,89,37
2,3,2,3,89,38
2,3,2,0,89,39
2,3,1,-3,89,40
2,3,1,-3,89,41
2,3,2,2,89,42
2,3,2,2,89,43
2,3,2,1,89,44
2,4,2,-4,89,45
2,3,2,2,89,46
2,3,2,1,89,47
2,4,2,0,89,48
2,3,2,-4,89,49
2,3,2,-4,89,50
2,4,1,4,89,51
2,3,1,1,89,52
2,4,1,1,89,53
2,4,1,3,89,54
2,3,1,-2,89,55
2,3,1,-2,89,56
1,4,1,4,89,57
2,4,1,2,89,58
1,2,1,-1,89,59
1,2,1,-2,89,60
2,3,1,4,89,61
2,3,1,4,89,62
2,3,1,2,89,63
1,4,1,1,89,64
2,3,1,2,89,65
2,3,1,-1,89,66
2,3,1,-2,89,67
2,3,1,-2,89,68
2,3,1,-1,89,69
1,2,1,3,89,70
1,2,1,4,89,71
1,4,1,-3,89,72
1,2,1,4,89,73
1,4,1,-5,89,74
1,2,1,4,89,75
1,2,1,2,89,76
1,4,1,-5,89,77
1,2,1,2,89,78
1,4,1,-2,89,79
1,2,1,-2,89,80
2,3,1,3,89,81
2,3,1,1,89,82
1,2,1,-2,89,83
1,2,1,1,89,84
1,2,1,1,89,85
2,3,1,0,89,86
2,3,1,2,89,87
2,3,1,2,89,88
2,4,2,-4,89,89
1,2,1,-3,89,90
2,4,1,-5,89,91
2,3,1,4,89,92
2,4,1,-3,89,93
2,4,1,-5,89,94
2,3,1,4,89,95
2,3,1,4,89,96
2,3,1,5,89,97
2,3,1,5,89,98
2,3,1,2,89,99
2,3,1,3,89,100
2,3,1,1,89,101
2,4,1,-3,89,102
2,4,1,-4,89,103
2,4,1,-2,89,104
2,4,1,2,89,105
2,3,1,2,89,106
2,3,1,2,89,107
2,3,1,4,89,108
2,3,1,4,89,109
2,4,1,0,89,110
2,3,1,4,89,111
2,3,1,4,89,112
2,3,1,2,89,113
2,3,1,3,89,114
2,4,1,2,89,115
2,4,1,0,89,116
2,3,1,1,89,117
2,4,1,-1,89,118
1,4,1,0,89,119
1,2,1,-4,89,120
2,4,1,-2,89,121
2,3,1,4,89,122
2,3,1,2,89,123
2,3,1,2,89,124
2,3,1,-1,89,125
2,3,1,-4,89,126
2,3,1,-5,89,127
2,3,1,-2,89,128
2,3,1,-3,89,129
2,4,1,-1,89,130
2,3,1,-1,89,131
2,3,1,-1,89,132
2,3,1,-5,89,133
1,2,2,0,89,134
1,2,2,3,89,135
1,2,2,3,89,136
1,4,2,4,89,137
1,4,2,-2,89,138
1,2,2,3,89,139
1,2,2,-1,89,140
1,2,2,-1,89,141
1,2,2,-2,89,142
1,4,2,-2,89,143
1,4,2,-1,89,144
1,2,2,-5,89,145
1,2,2,-4,89,146
1,2,2,2,89,147
1,2,2,3,89,148
1,2,2,4,89,149
1,2,2,1,89,150
1,4,2,-3,89,151
1,4,2,-3,89,152
1,2,2,3,89,153
1,2,2,-1,89,154
1,2,2,4,89,155
1,2,2,1,89,156
1,2,1,1,89,157
1,2,1,4,89,158
1,2,1,4,89,159
1,4,1,-4,89,160
1,4,1,-4,89,161
1,2,1,5,89,162
1,2,1,5,89,163
1,2,1,4,89,164
1,2,1,5,89,165
1,2,1,2,89,166
1,2,1,1,89,167
1,4,2,0,89,168
1,4,2,-2,89,169
2,3,1,-4,89,170
1,2,1,3,89,171
1,4,1,-4,89,172
1,2,1,4,89,173
1,2,1,4,89,174
1,2,1,3,89,175
1,4,1,-5,868,1
1,4,1,-3,868,2
1,2,1,2,868,3
1,2,1,3,868,4
2,3,1,-1,868,5
1,2,1,2,868,6
1,2,1,-1,868,7
2,3,2,4,868,8
2,3,2,5,868,9
2,3,2,2,868,10
2,3,2,0,868,11
1,2,1,0,868,12
1,2,2,-1,868,13
2,3,2,-2,868,14
1,2,2,0,868,15
2,4,2,0,868,16
1,2,2,-2,868,17
1,2,1,-1,868,18
1,4,2,-3,868,19
1,2,2,-3,868,20
2,3,2,1,868,21
2,3,1,4,868,22
2,3,1,5,868,23
2,3,1,5,868,24
2,3,1,4,868,25
2,3,1,3,868,26
2,3,1,1,868,27
2,3,1,0,868,28
2,3,1,-1,868,29
1,2,1,-4,868,30
2,3,1,3,868,31
2,4,1,2,868,32
2,3,1,0,868,33
2,3,1,1,868,34
2,3,1,2,868,35
2,3,2,-2,868,36
2,3,2,-5,868,37
2,3,1,2,868,38
2,3,1,-1,868,39
1,2,2,1,868,40
1,2,2,0,868,41
1,4,2,-1,868,42
1,2,2,-5,868,43
2,3,1,3,868,44
2,3,1,2,868,45
2,3,1,2,868,46
2,4,1,-1,868,47
2,3,1,4,868,48
2,4,1,-1,868,49
2,3,1,4,868,50
2,3,1,4,868,51
2,3,1,5,868,52
2,3,1,4,868,53
2,3,1,4,868,54
2,3,1,5,868,55
2,3,1,3,868,56
2,3,1,1,868,57
2,4,1,-3,868,58
2,3,1,-1,868,59
2,3,1,2,868,60
2,3,1,2,868,61
2,3,1,4,868,62
2,4,1,-2,868,63
2,3,1,4,868,64
2,3,1,3,868,65
2,3,1,2,868,66
1,2,1,-4,868,67
2,3,1,3,868,68
2,3,2,1,868,69
2,3,1,0,868,70
2,3,1,-2,868,71
2,3,1,-5,868,72
2,4,1,3,868,73
1,2,2,1,868,74
1,4,2,3,868,75
1,4,2,2,868,76
1,2,1,-4,868,77
2,3,1,2,868,78
1,2,2,0,868,79
1,2,2,-1,868,80
1,2,2,-2,868,81
1,2,1,-3,868,82
1,2,2,-2,868,83
2,3,1,5,868,84
2,3,1,5,868,85
2,3,1,4,868,86
2,3,1,2,868,87
2,4,1,1,868,88
2,3,1,4,868,89
2,3,1,2,868,90
2,3,1,-1,868,91
2,4,1,0,868,92
2,3,1,-2,868,93
2,4,1,0,868,94
2,4,1,1,868,95
2,3,1,-4,868,96
2,3,1,-4,868,97
2,4,1,2,868,98
2,3,2,-1,868,99
2,3,2,-1,868,100
2,4,2,2,868,101
2,3,2,-3,868,102
2,3,2,-4,868,103
2,3,2,-4,868,104
1,2,2,1,868,105
1,2,2,-2,868,106
1,2,2,1,868,107
1,4,2,3,868,108
1,4,2,4,868,109
1,2,2,1,868,110
1,2,2,2,868,111
1,4,2,-2,868,112
1,2,2,1,868,113
1,2,2,-1,868,114
1,4,2,-4,868,115
1,4,2,-4,868,116
1,4,2,-3,868,117
1,2,2,3,868,118
1,2,2,4,868,119
1,2,2,5,868,120
1,2,2,4,868,121
1,2,2,4,868,122
1,2,2,5,868,123
1,2,2,5,868,124
1,2,2,3,868,125
1,2,2,4,868,126
1,2,2,1,868,127
1,2,2,-1,868,128
1,2,2,2,868,129
1,4,2,-1,868,130
1,2,2,2,868,131
1,2,2,4,868,132
1,2,2,0,868,133
1,2,2,-1,868,134
1,2,2,-2,868,135
2,4,1,-1,868,136
1,2,1,4,868,137
1,2,1,4,868,138
1,2,1,5,868,139
1,2,1,4,868,140
1,2,1,4,868,141
1,2,1,2,868,142
1,2,1,1,868,143
2,3,1,1,868,144
1,2,1,-2,868,145
1,4,2,3,868,146
1,4,2,2,868,147
1,2,2,-4,868,148
1,2,1,1,868,149
1,4,1,3,868,150
2,4,1,1,868,151
1,4,1,4,868,152
1,2,1,5,868,153
1,2,1,5,868,154
1,2,1,2,868,155
1,2,2,4,868,156
1,4,1,4,868,157
1,2,1,1,868,158
1,2,1,1,868,159
1,2,1,1,868,160
1,2,1,-1,868,161
1,2,1,2,868,162
1,2,1,0,868,163
1,2,1,2,868,164
1,2,1,2,868,165
1,2,1,4,868,166
1,4,1,-3,868,167
1,4,1,-5,868,168
1,2,1,4,868,169
1,2,1,3,868,170
1,2,1,3,868,171
1,2,1,5,868,172
1,2,1,5,868,173
1,2,1,4,868,174
1,2,1,-1,868,175
2,3,2,-4,764,1
1,2,1,4,764,2
2,3,2,1,764,3
2,3,1,-2,764,4
1,4,1,-2,764,5
2,4,2,-1,764,6
2,3,2,0,764,7
1,2,1,5,764,8
1,2,1,5,764,9
1,2,1,2,764,10
2,3,2,4,764,11
1,2,1,2,764,12
2,3,1,5,764,13
2,3,1,4,764,14
2,3,1,5,764,15
2,3,1,3,764,16
2,3,2,4,764,17
1,4,2,2,764,18
1,2,2,-5,764,19
1,2,1,4,764,20
1,2,1,4,764,21
1,4,1,1,764,22
1,4,1,0,764,23
2,3,2,-1,764,24
1,2,1,0,764,25
1,2,1,0,764,26
2,3,2,-3,764,27
1,4,2,-2,764,28
1,2,1,2,764,29
2,3,1,3,764,30
2,3,1,2,764,31
2,3,1,0,764,32
2,3,1,-3,764,33
2,3,2,-1,764,34
2,4,1,-2,764,35
2,3,2,-1,764,36
1,2,2,4,764,37
1,2,1,3,764,38
1,2,1,-1,764,39
1,2,1,-3,764,40
2,3,1,-1,764,41
1,4,2,-1,764,42
2,3,2,4,764,43
1,2,1,5,764,44
1,2,1,4,764,45
2,3,2,4,764,46
1,4,2,2,764,47
1,2,2,0,764,48
2,3,1,-3,764,49
1,2,1,0,764,50
1,4,1,5,764,51
2,3,2,-3,764,52
1,2,2,5,764,53
2,3,1,-4,764,54
2,3,2,0,764,55
2,3,2,1,764,56
1,4,2,-1,764,57
2,3,1,-4,764,58
1,4,2,-2,764,59
2,4,1,4,764,60
2,3,2,-1,764,61
1,2,2,-4,764,62
2,4,1,1,764,63
1,2,2,-1,764,64
2,4,1,1,764,65
2,3,2,0,764,66
2,3,1,1,764,67
1,2,2,-3,764,68
2,3,1,3,764,69
1,2,1,0,764,70
2,3,2,-4,764,71
1,2,1,-1,764,72
1,4,1,-2,764,73
1,2,1,-1,764,74
2,3,1,2,764,75
2,4,1,-2,764,76
2,3,1,3,764,77
1,4,1,-1,764,78
1,2,2,-4,764,79
2,4,2,-4,764,80
2,3,2,-2,764,81
1,2,1,3,764,82
2,3,2,-5,764,83
1,2,2,-2,764,84
1,4,2,-2,764,85
2,3,2,-4,764,86
