subject,rt_1,key1,Action1,rt_2,key2,Action2,Re,common,S2,score,practice,reverse_mapping_1,reverse_mapping_2,rews1a1,rews1a2,rews2a1,rews2a2,round,time_elapsed,key1_formula,key2_formula
A27BSYPO6JCB4Q,901,1,2,9441,2,1,-3,1,3,-3,1,1,1,-1,3,-3,3,0,130662,1,2
A27BSYPO6JCB4Q,1541,2,2,807,2,2,4,0,2,1,1,0,0,-3,4,-3,4,1,138529,2,2
A27BSYPO6JCB4Q,2627,2,2,3047,2,2,3,1,3,4,1,0,0,-1,3,-3,3,2,149721,2,2
A27BSYPO6JCB4Q,1171,2,2,584,2,2,2,1,3,6,1,0,0,-3,4,0,2,3,156991,2,2
A27BSYPO6JCB4Q,541,2,1,176,2,2,4,1,2,10,1,1,0,-2,4,-3,3,4,163223,2,2
A27BSYPO6JCB4Q,861,2,2,927,2,2,1,1,3,11,1,0,0,-3,3,-3,1,5,170527,2,2
A27BSYPO6JCB4Q,1165,2,1,967,2,2,4,1,2,15,1,1,0,-4,4,-3,-1,6,178176,2,2
A27BSYPO6JCB4Q,2044,2,2,928,2,2,-3,1,3,12,1,0,0,-4,4,-4,-3,7,186663,2,2
A27BSYPO6JCB4Q,470,2,1,362,2,2,5,1,2,17,1,1,0,-3,5,-2,-3,8,193016,2,2
A27BSYPO6JCB4Q,53,2,2,136,2,2,5,0,2,22,1,0,0,-2,5,2,-3,9,198719,2,2
A27BSYPO6JCB4Q,523,2,1,72,2,2,3,1,2,25,1,1,0,1,3,-1,-2,10,204832,2,2
A27BSYPO6JCB4Q,204,2,2,32,2,2,1,1,3,26,1,0,0,1,3,0,1,11,210582,2,2
A27BSYPO6JCB4Q,927,2,1,200,2,2,1,1,2,27,1,1,0,-2,1,0,3,12,217222,2,2
A27BSYPO6JCB4Q,463,2,1,183,2,2,-1,1,2,26,1,1,0,-3,-1,1,3,13,223386,2,2
A27BSYPO6JCB4Q,435,2,1,240,2,2,5,0,3,31,1,1,0,1,-1,-1,5,14,229576,2,2
