Action1,S2,Action2,rt2,Re,subject,round
2,3,2,0,-1,428,1
2,3,2,1,-2,428,2
1,4,2,1,-3,428,3
2,3,1,0,2,428,4
2,3,1,0,2,428,5
2,4,1,0,-4,428,6
2,3,1,0,-2,428,7
2,3,1,1,-2,428,8
1,2,2,0,0,428,9
1,2,2,0,-2,428,10
1,2,2,0,0,428,11
1,2,1,1,-2,428,12
1,2,2,0,2,428,13
1,2,2,0,3,428,14
1,4,2,0,-3,428,15
1,2,2,0,2,428,16
1,2,2,0,3,428,17
1,2,2,0,0,428,18
2,3,2,0,5,428,19
2,3,2,0,5,428,20
2,3,2,0,4,428,21
2,3,2,0,2,428,22
1,4,2,0,-3,428,23
2,3,2,0,-4,428,24
2,3,2,0,-4,428,25
2,3,2,0,-4,428,26
1,2,2,0,-4,428,27
1,2,1,0,-4,428,28
2,3,1,0,0,428,29
2,3,1,0,-4,428,30
1,2,2,1,-3,428,31
1,2,2,0,0,428,32
2,3,1,0,-5,428,33
1,2,2,0,-2,428,34
1,2,2,0,0,428,35
1,2,2,0,-2,428,36
2,4,2,1,0,428,37
2,3,2,1,-3,428,38
1,4,2,0,-3,428,39
1,2,2,0,2,428,40
1,2,2,0,3,428,41
1,2,2,0,0,428,42
1,2,2,0,3,428,43
1,2,2,0,0,428,44
1,2,2,0,0,428,45
1,2,2,0,2,428,46
1,2,2,0,-3,428,47
1,2,2,0,-5,428,48
2,3,2,1,0,428,49
2,3,1,1,5,428,50
2,3,1,1,5,428,51
2,3,1,1,4,428,52
2,3,1,1,3,428,53
2,3,1,1,2,428,54
2,3,1,1,4,428,55
2,3,1,1,3,428,56
2,3,1,1,3,428,57
2,3,1,1,4,428,58
2,3,1,1,2,428,59
2,4,1,1,-5,428,60
2,4,1,0,-4,428,61
2,3,1,0,0,428,62
2,4,1,0,-4,428,63
2,3,1,0,3,428,64
2,3,1,0,3,428,65
2,3,1,0,0,428,66
2,3,1,0,0,428,67
2,3,2,0,-3,428,68
2,3,1,0,-3,428,69
1,2,1,0,0,428,70
1,2,1,0,4,428,71
1,2,1,0,3,428,72
1,2,1,0,0,428,73
1,2,1,0,0,428,74
2,3,1,1,0,428,75
1,4,2,1,2,428,76
1,2,1,1,0,428,77
1,2,1,0,-3,428,78
1,4,1,0,0,428,79
1,4,2,1,-5,428,80
2,3,1,0,-2,428,81
2,3,1,1,0,428,82
1,2,1,1,3,428,83
1,4,1,1,0,428,84
1,2,1,1,0,428,85
1,4,2,1,0,428,86
1,2,2,1,4,428,87
1,2,2,1,4,428,88
1,2,2,1,5,428,89
1,2,2,0,4,428,90
1,2,2,1,0,428,91
2,4,2,1,3,428,92
2,4,2,1,4,428,93
2,3,1,1,2,428,94
1,2,1,0,3,428,95
1,4,1,0,0,428,96
2,3,1,1,0,428,97
1,2,1,0,0,428,98
1,2,1,0,0,428,99
1,4,1,0,4,428,100
1,2,2,0,2,428,101
1,2,2,0,3,428,102
1,2,2,0,3,428,103
1,2,2,0,0,428,104
1,4,2,0,0,428,105
1,4,2,1,0,428,106
2,4,2,1,-4,428,107
1,2,2,1,4,428,108
1,2,2,1,4,428,109
1,2,2,1,3,428,110
2,3,1,0,3,428,111
1,2,1,1,-5,428,112
2,3,1,0,5,428,113
2,3,1,0,4,428,114
