Action1,S2,Action2,rt2,Re,subject,round
2,4,1,1,-4,793,1
2,3,2,0,-3,793,2
1,2,2,0,2,793,3
1,2,2,0,2,793,4
1,4,2,0,-4,793,5
1,4,2,1,-3,793,6
2,3,2,1,-3,793,7
1,2,1,0,5,793,8
1,2,1,0,0,793,9
2,4,1,1,0,793,10
1,2,1,0,-3,793,11
2,4,1,1,-3,793,12
2,3,1,0,3,793,13
2,3,1,0,3,793,14
2,3,1,0,3,793,15
2,3,1,0,2,793,16
2,3,1,0,4,793,17
2,3,1,0,3,793,18
2,4,1,0,-3,793,19
2,3,1,0,2,793,20
2,3,1,1,0,793,21
2,3,1,0,-4,793,22
2,3,1,1,-4,793,23
1,4,2,1,-3,793,24
2,3,2,1,-2,793,25
2,3,2,1,0,793,26
2,3,2,1,0,793,27
2,3,2,1,-3,793,28
2,3,1,0,-3,793,29
1,2,1,0,-4,793,30
2,3,1,1,0,793,31
2,4,1,1,-2,793,32
2,4,2,0,0,793,33
2,4,2,0,4,793,34
2,3,2,0,-5,793,35
2,3,1,0,5,793,36
2,3,1,0,4,793,37
2,3,1,0,4,793,38
2,4,1,0,0,793,39
2,4,1,0,0,793,40
2,3,1,1,4,793,41
2,3,1,0,4,793,42
2,3,1,0,3,793,43
2,3,1,0,0,793,44
2,3,1,1,3,793,45
2,3,1,1,3,793,46
2,4,2,1,-3,793,47
2,3,1,0,4,793,48
2,3,1,0,3,793,49
2,3,1,0,5,793,50
2,3,1,0,4,793,51
2,3,1,0,4,793,52
2,3,1,0,4,793,53
2,3,1,0,5,793,54
2,3,1,0,4,793,55
2,3,1,0,4,793,56
2,3,1,0,0,793,57
2,3,1,0,-3,793,58
2,3,1,1,0,793,59
2,3,1,1,0,793,60
2,3,1,1,0,793,61
2,3,1,1,0,793,62
2,3,1,1,3,793,63
2,3,1,1,4,793,64
2,3,1,1,5,793,65
2,3,1,1,2,793,66
2,4,1,1,-2,793,67
2,3,1,1,0,793,68
2,3,1,1,2,793,69
2,4,1,1,0,793,70
2,4,1,1,0,793,71
2,3,1,1,0,793,72
1,2,1,1,5,793,73
1,2,1,1,3,793,74
1,2,1,1,0,793,75
1,2,1,1,2,793,76
1,2,1,1,0,793,77
1,2,1,1,2,793,78
1,2,1,0,0,793,79
1,4,1,1,-4,793,80
2,4,2,0,-2,793,81
2,3,1,1,2,793,82
2,3,1,1,3,793,83
2,3,1,1,4,793,84
2,3,1,0,2,793,85
2,3,1,0,3,793,86
2,3,1,1,4,793,87
2,4,1,1,0,793,88
2,3,1,1,2,793,89
2,4,1,1,0,793,90
2,3,1,1,3,793,91
2,3,1,1,0,793,92
2,4,1,0,2,793,93
2,3,1,0,-3,793,94
2,3,2,0,-5,793,95
2,3,1,1,0,793,96
2,4,2,1,-4,793,97
2,3,1,0,-3,793,98
1,2,1,1,0,793,99
1,2,1,1,0,793,100
1,2,1,1,2,793,101
1,2,1,1,5,793,102
1,2,1,1,3,793,103
1,4,1,1,-3,793,104
1,2,1,1,-2,793,105
1,4,1,1,-2,793,106
2,3,2,0,0,793,107
1,2,1,1,4,793,108
1,2,1,1,4,793,109
1,2,1,1,4,793,110
1,2,1,0,3,793,111
1,2,1,0,3,793,112
1,4,1,0,0,793,113
1,4,1,1,0,793,114
1,4,1,1,2,793,115
1,2,1,1,2,793,116
1,2,1,1,3,793,117
1,2,1,0,5,793,118
1,2,1,0,4,793,119
1,4,1,0,5,793,120
1,2,1,0,0,793,121
1,2,1,1,0,793,122
1,4,1,1,2,793,123
1,2,1,1,-5,793,124
2,3,1,1,-4,793,125
2,3,2,0,4,793,126
2,3,2,0,5,793,127
2,3,2,0,5,793,128
2,4,2,0,0,793,129
2,4,2,0,2,793,130
2,3,2,0,3,793,131
2,3,2,0,4,793,132
2,3,2,0,4,793,133
2,3,2,0,4,793,134
2,3,2,0,4,793,135
2,3,2,0,0,793,136
2,3,2,0,2,793,137
2,3,2,0,2,793,138
2,3,2,0,4,793,139
2,3,2,0,3,793,140
2,4,2,0,-3,793,141
2,3,2,0,4,793,142
2,4,2,0,-5,793,143
1,4,1,0,-4,793,144
2,4,1,1,-3,793,145
1,2,1,0,2,793,146
1,2,1,0,0,793,147
1,2,1,0,3,793,148
1,2,1,0,3,793,149
1,2,1,0,3,793,150
1,4,1,0,4,793,151
1,4,1,0,3,793,152
1,2,1,0,4,793,153
1,2,1,0,4,793,154
1,2,1,0,2,793,155
1,2,1,0,2,793,156
1,4,1,0,5,793,157
1,2,1,0,2,793,158
1,2,1,0,2,793,159
1,4,1,0,2,793,160
1,2,1,0,0,793,161
2,3,2,0,3,793,162
2,3,2,0,4,793,163
2,3,2,0,0,793,164
2,3,2,0,0,793,165
1,2,1,0,2,793,166
1,4,1,0,0,793,167
1,2,1,0,0,793,168
1,2,1,0,-2,793,169
2,3,2,0,0,793,170
2,3,2,0,0,793,171
1,2,1,0,0,793,172
2,4,2,0,-2,793,173
1,2,1,0,0,793,174
1,2,1,0,0,793,175
1,2,1,1,-3,264,1
2,4,1,0,-4,264,2
1,2,2,0,3,264,3
1,4,2,1,-4,264,4
1,2,2,1,0,264,5
1,2,2,1,0,264,6
1,4,2,0,-2,264,7
1,4,1,1,-2,264,8
1,2,1,0,-3,264,9
2,3,2,0,-3,264,10
1,2,2,0,2,264,11
1,4,2,1,0,264,12
1,4,2,1,-3,264,13
1,2,2,1,0,264,14
1,2,2,0,0,264,15
2,3,2,1,-4,264,16
1,2,2,0,-3,264,17
1,2,2,0,-2,264,18
1,2,2,1,-3,264,19
2,3,1,1,0,264,20
1,2,2,0,-4,264,21
2,3,1,0,-3,264,22
2,3,1,0,-5,264,23
1,4,1,0,4,264,24
1,2,1,0,0,264,25
1,2,1,0,0,264,26
1,2,1,0,0,264,27
1,2,1,0,0,264,28
1,2,1,0,0,264,29
1,2,1,1,0,264,30
1,2,1,1,0,264,31
2,4,2,1,0,264,32
1,4,1,0,0,264,33
1,2,1,0,0,264,34
1,2,1,1,0,264,35
1,4,1,1,0,264,36
1,2,1,1,-4,264,37
2,4,2,0,-3,264,38
2,3,2,1,0,264,39
1,2,2,0,2,264,40
1,2,1,0,-2,264,41
1,2,1,0,0,264,42
1,2,1,1,2,264,43
1,2,2,0,4,264,44
1,2,2,0,2,264,45
1,4,2,0,-2,264,46
1,2,1,0,-5,264,47
2,3,2,0,3,264,48
1,2,2,1,-2,264,49
1,2,2,1,-3,264,50
2,4,2,0,-2,264,51
2,3,2,1,0,264,52
2,3,2,1,0,264,53
1,2,2,1,-2,264,54
2,3,2,0,-3,264,55
2,3,2,0,-2,264,56
2,3,2,1,-4,264,57
1,2,2,0,-3,264,58
1,2,2,1,-2,264,59
1,4,2,1,2,264,60
1,2,2,0,0,264,61
1,2,2,0,0,264,62
1,4,2,0,4,264,63
1,4,2,0,5,264,64
1,2,2,0,3,264,65
1,2,2,0,3,264,66
1,2,2,0,2,264,67
1,2,2,1,2,264,68
1,2,2,1,2,264,69
1,2,2,1,0,264,70
1,4,2,1,4,264,71
1,4,2,1,0,264,72
1,4,2,0,0,264,73
1,4,2,1,3,264,74
1,2,2,0,0,264,75
1,2,2,1,2,264,76
1,2,2,1,0,264,77
1,2,1,0,0,264,78
2,3,1,0,0,264,79
2,4,1,0,-3,264,80
2,3,1,0,0,264,81
2,3,2,1,0,264,82
2,3,2,1,0,264,83
2,4,1,0,-4,264,84
1,2,2,0,0,264,85
1,2,2,0,0,264,86
1,2,2,0,0,264,87
1,2,2,0,-4,264,88
2,3,2,1,-3,264,89
1,2,2,1,5,264,90
1,2,2,0,3,264,91
1,2,2,1,0,264,92
1,2,2,1,-3,264,93
1,4,1,0,-4,264,94
2,3,1,1,5,264,95
2,4,1,0,-2,264,96
2,3,1,1,4,264,97
2,3,1,0,4,264,98
2,3,1,0,0,264,99
1,2,2,0,0,264,100
2,3,1,1,0,264,101
2,3,1,1,-2,264,102
2,3,1,1,-3,264,103
1,4,2,0,0,264,104
1,2,2,0,-5,264,105
1,2,2,0,-2,264,106
1,2,1,0,0,264,107
1,2,1,0,0,264,108
1,2,1,1,0,264,109
2,4,2,0,0,264,110
2,3,2,0,0,264,111
2,3,2,0,-2,264,112
2,3,2,0,0,264,113
2,4,1,1,-5,264,114
2,3,2,1,0,264,115
2,4,2,1,-4,264,116
2,3,2,1,3,264,117
2,3,2,1,4,264,118
2,3,2,1,3,264,119
2,3,2,0,2,264,120
2,3,2,0,0,264,121
2,3,2,0,2,264,122
2,3,2,0,0,264,123
2,4,2,0,0,264,124
2,3,2,0,0,264,125
1,2,1,1,-3,264,126
2,3,2,1,-3,264,127
2,4,2,0,0,264,128
2,3,2,0,-4,264,129
1,2,1,0,2,264,130
1,2,1,1,3,264,131
1,2,1,1,3,264,132
1,2,1,0,3,264,133
1,4,1,0,5,264,134
1,4,1,0,0,264,135
1,2,1,0,-4,264,136
2,3,2,0,4,264,137
2,3,2,0,2,264,138
2,3,2,0,5,264,139
2,4,2,0,-2,264,140
2,3,2,1,3,264,141
2,4,2,1,-4,264,142
2,3,2,1,0,264,143
2,3,2,1,-3,264,144
2,4,2,1,0,264,145
2,3,2,1,-3,264,146
2,3,2,0,0,264,147
1,4,2,1,0,264,148
2,3,2,1,3,264,149
2,3,2,1,2,264,150
2,3,2,0,4,264,151
2,3,2,0,5,264,152
2,3,2,0,5,264,153
2,4,2,0,4,264,154
2,3,2,0,4,264,155
2,3,2,0,4,264,156
2,3,2,1,5,264,157
2,3,2,1,2,264,158
1,2,1,1,0,264,159
