Action1,S2,Action2,Re,subject,round,rt2
2,2,1,4,289,1,1
1,2,1,5,289,2,0
1,2,2,-3,289,3,1
1,2,2,-4,289,4,1
1,2,2,-4,289,5,1
1,2,2,-3,289,6,1
1,2,2,-1,289,7,1
1,2,2,-2,289,8,1
1,2,2,0,289,9,1
1,2,2,-2,289,10,1
1,3,2,0,289,11,1
1,2,2,-5,289,12,1
1,2,2,-4,289,13,1
1,2,2,-5,289,14,1
1,2,2,-3,289,15,1
1,3,2,-2,289,16,1
1,2,2,-2,289,17,1
1,3,2,3,289,18,1
1,2,2,-4,289,19,1
1,2,1,0,289,20,1
1,2,1,0,289,21,1
1,2,1,-4,289,22,1
1,3,2,-2,289,23,1
1,2,1,-3,289,24,1
1,2,1,-2,289,25,1
1,2,1,-1,289,26,1
1,3,2,-3,289,27,1
2,3,1,-1,289,28,0
1,2,1,-1,289,29,1
1,2,1,-2,289,30,1
1,2,1,-5,289,31,1
1,2,1,-2,289,32,1
1,2,2,2,289,33,1
1,2,2,1,289,34,1
1,2,1,2,289,35,1
1,2,1,2,289,36,1
1,2,1,-1,289,37,1
1,2,1,-4,289,38,1
1,2,1,-4,289,39,1
1,2,1,-2,289,40,1
1,2,1,-3,289,41,1
1,2,1,-3,289,42,1
1,3,2,3,289,43,1
1,2,1,-5,289,44,1
1,3,1,-1,289,45,1
1,2,1,-3,289,46,1
1,3,2,5,289,47,1
1,2,1,-2,289,48,1
1,2,1,-3,289,49,1
1,3,2,4,289,50,1
1,3,2,1,289,51,1
1,2,1,-3,289,52,1
1,2,1,-3,289,53,1
1,2,1,-2,289,54,1
1,2,1,-2,289,55,1
1,2,1,2,289,56,1
1,2,1,2,289,57,1
1,3,2,4,289,58,1
2,3,2,5,289,59,1
1,3,2,1,289,60,1
2,2,2,-3,289,61,1
2,2,1,5,289,62,1
2,3,2,1,289,63,1
1,2,1,5,289,64,1
1,2,1,5,289,65,1
2,3,2,1,289,66,1
2,3,2,3,289,67,1
2,2,2,3,289,68,0
2,3,2,2,289,69,1
2,2,2,3,289,70,1
1,2,1,-3,289,71,1
1,2,1,-4,289,72,1
2,2,1,-4,289,73,1
2,3,2,3,289,74,0
2,3,2,5,289,75,1
2,2,1,-2,289,76,1
2,3,2,4,289,77,1
2,3,2,4,289,78,1
2,3,2,2,289,79,1
1,2,1,-1,289,80,1
2,3,2,5,289,81,1
2,3,2,2,289,82,1
2,3,2,5,289,83,1
2,3,2,5,289,84,1
2,3,2,2,289,85,1
2,2,1,1,289,86,1
2,2,1,-1,289,87,1
2,3,2,3,289,88,1
2,3,1,1,289,89,1
2,2,1,2,289,90,1
2,3,1,0,289,91,1
2,2,1,4,289,92,1
2,3,2,3,289,93,1
2,3,2,2,289,94,1
2,3,2,4,289,95,1
2,3,2,5,289,96,1
2,3,2,5,289,97,1
2,3,2,3,289,98,1
2,3,2,2,289,99,1
2,3,2,2,289,100,1
2,3,2,3,289,101,1
1,2,1,1,289,102,1
1,2,1,1,289,103,1
1,2,1,-1,289,104,1
1,2,1,-1,289,105,1
1,2,1,-3,289,106,1
1,2,1,-5,289,107,1
2,3,2,5,289,108,1
2,3,2,3,289,109,1
2,2,2,1,289,110,0
2,3,2,2,289,111,1
2,2,1,-5,289,112,1
2,2,1,-4,289,113,1
2,2,1,-4,289,114,1
2,2,1,-2,289,115,1
1,2,2,-1,289,116,0
2,3,2,4,289,117,1
2,3,1,3,289,118,1
2,2,2,-1,289,119,1
2,3,2,3,289,120,1
1,2,1,3,289,121,1
2,3,1,5,289,122,1
2,3,2,-2,289,123,1
2,2,2,0,289,124,1
2,2,2,0,289,125,1
2,2,1,4,208,1,1
2,3,2,0,208,2,1
2,3,2,0,208,3,1
2,3,2,1,208,4,1
2,3,2,1,208,5,1
2,3,2,1,208,6,1
2,3,2,2,208,7,1
2,3,2,3,208,8,1
2,3,2,2,208,9,1
2,3,2,2,208,10,1
2,3,2,4,208,11,1
1,3,2,3,208,12,1
1,2,1,3,208,13,1
2,3,2,4,208,14,1
1,2,1,3,208,15,1
1,2,1,-1,208,16,1
1,2,1,0,208,17,1
1,2,1,-1,208,18,1
1,2,1,-2,208,19,1
1,2,1,-1,208,20,1
1,2,1,-2,208,21,1
2,2,1,-3,208,22,1
1,2,1,-3,208,23,1
1,2,1,-1,208,24,1
1,2,1,1,208,25,1
1,3,2,4,208,26,1
1,2,1,1,208,27,1
2,3,1,0,208,28,0
2,2,1,3,208,29,1
2,3,2,0,208,30,1
2,3,2,1,208,31,1
1,3,1,-1,208,32,1
2,3,2,1,208,33,1
1,2,1,1,208,34,1
1,2,1,1,208,35,1
1,2,1,0,208,36,1
1,3,2,4,208,37,1
1,3,1,2,208,38,1
1,3,2,4,208,39,1
1,2,1,1,208,40,1
1,2,1,0,208,41,1
1,3,2,4,208,42,1
1,2,1,0,208,43,1
1,2,1,-2,208,44,1
1,2,1,-4,208,45,1
1,2,1,-4,208,46,1
1,3,2,-1,208,47,1
1,2,1,-5,208,48,1
1,2,1,-2,208,49,1
2,3,2,-1,208,50,1
1,2,1,-4,208,51,1
1,2,1,-3,208,52,1
1,3,2,-4,208,53,1
1,2,1,-5,208,54,1
1,2,1,-4,208,55,1
1,2,1,-3,208,56,1
1,2,1,-2,208,57,1
1,3,2,-3,208,58,1
1,3,2,-3,208,59,1
1,2,1,-3,208,60,1
1,2,1,-4,208,61,1
1,3,2,-5,208,62,1
1,2,1,-5,208,63,1
1,2,1,-4,208,64,1
1,2,1,-4,208,65,1
1,2,1,-1,208,66,1
1,2,1,-3,208,67,1
1,2,1,-1,208,68,1
1,3,2,-4,208,69,1
1,2,1,-3,208,70,1
1,2,1,-4,208,71,1
1,2,1,-5,208,72,1
1,2,1,-4,208,73,1
1,2,1,-4,208,74,1
1,2,1,-2,208,75,1
1,2,1,1,208,76,1
1,2,1,1,208,77,1
1,2,1,1,208,78,1
2,3,1,2,208,79,1
2,2,1,-1,208,80,0
2,3,2,0,208,81,1
2,3,1,3,208,82,1
2,3,1,3,208,83,1
2,2,1,-4,208,84,1
2,3,1,3,208,85,1
2,3,1,1,208,86,1
2,3,1,1,208,87,1
2,2,1,-5,208,88,1
2,3,1,0,208,89,1
2,3,1,3,208,90,1
2,2,1,-1,208,91,1
2,2,1,-1,208,92,1
2,2,1,-3,208,93,1
2,3,1,1,208,94,1
2,3,1,0,208,95,1
2,3,1,2,208,96,1
2,3,1,3,208,97,1
2,2,1,3,208,98,1
2,3,1,4,208,99,1
2,2,1,4,208,100,1
1,3,1,2,208,101,1
2,3,1,2,208,102,1
2,2,1,2,208,103,1
2,3,1,1,208,104,1
1,2,1,2,208,105,1
1,2,1,4,208,106,1
1,2,1,3,208,107,1
1,2,1,5,208,108,1
1,2,1,4,208,109,1
1,2,1,1,208,110,1
1,2,1,2,208,111,1
1,2,1,2,208,112,1
