Action1,S2,Action2,Re,subject,round,rt2
2,3,1,1,365,1,0
2,3,1,0,365,2,1
1,2,2,1,365,3,1
1,2,2,1,365,4,0
1,2,2,1,365,5,1
1,3,2,0,365,6,0
2,3,2,0,365,7,0
2,3,1,0,365,8,0
2,3,2,1,365,9,0
1,2,1,0,365,10,0
2,3,2,0,365,11,0
1,2,1,1,365,12,0
1,3,2,1,365,13,1
2,3,1,0,365,14,0
1,2,2,1,365,15,1
1,2,2,1,365,16,0
2,3,2,1,365,17,1
1,2,2,1,365,18,0
1,2,1,1,365,19,0
1,2,2,1,365,20,1
1,3,2,1,365,21,1
1,2,2,1,365,22,0
2,3,2,1,365,23,1
1,2,1,1,365,24,1
2,3,2,0,365,25,1
1,3,2,0,365,26,0
2,3,1,1,365,27,0
2,2,2,0,365,28,0
1,2,2,0,365,29,0
2,3,2,1,365,30,0
2,3,1,0,365,31,0
1,3,2,1,365,32,1
2,3,2,1,365,33,0
2,3,2,1,365,34,1
1,2,1,1,365,35,1
2,3,2,1,365,36,0
1,2,1,1,365,37,0
2,3,2,0,365,38,0
1,3,1,0,365,39,0
2,3,2,1,365,40,1
2,3,1,0,365,41,0
1,2,2,1,365,42,0
1,2,2,1,365,43,0
2,3,2,1,365,44,0
2,3,2,1,365,45,1
1,2,2,1,365,46,0
1,2,2,0,365,47,0
1,2,1,1,365,48,0
2,3,2,0,365,49,1
1,2,2,1,365,50,0
1,2,2,1,365,51,0
1,2,1,1,365,52,1
1,2,1,0,365,53,0
1,2,2,1,365,54,0
1,2,2,0,365,55,1
2,3,1,0,365,56,0
1,2,1,1,365,57,1
1,3,1,1,365,58,0
2,3,1,0,365,59,1
1,3,2,1,365,60,1
2,3,2,0,365,61,1
1,2,1,1,365,62,1
1,2,2,1,365,63,0
1,2,2,1,365,64,0
1,2,1,0,365,65,0
2,3,1,0,365,66,0
2,3,2,1,365,67,1
1,2,1,1,365,68,0
1,2,2,0,365,69,0
2,2,2,1,365,70,0
1,2,1,1,365,71,0
2,3,2,1,365,72,0
1,3,2,1,365,73,0
1,2,1,1,365,74,1
1,2,2,1,365,75,0
1,2,1,1,365,76,0
1,2,2,1,365,77,0
1,3,2,0,365,78,1
1,2,1,1,365,79,0
2,3,1,1,365,80,0
2,3,2,0,365,81,0
2,2,1,1,365,82,0
2,2,1,1,365,83,1
1,2,1,1,365,84,0
2,3,1,0,365,85,1
1,2,2,1,365,86,1
1,2,1,0,365,87,0
1,2,2,1,365,88,0
2,3,1,1,365,89,0
2,3,1,1,365,90,1
2,3,1,1,365,91,1
2,3,1,0,365,92,0
1,2,2,0,365,93,1
1,2,1,1,365,94,0
2,3,1,0,365,95,0
1,2,1,0,365,96,1
1,2,2,0,365,97,0
1,2,1,0,365,98,0
2,3,2,0,365,99,0
2,3,1,1,365,100,0
2,2,2,1,365,101,1
1,3,1,1,365,102,0
1,2,2,1,365,103,0
2,2,2,1,365,104,1
2,3,1,1,365,105,0
2,3,1,1,365,106,0
1,2,2,0,365,107,0
1,2,2,0,365,108,1
2,2,1,0,365,109,0
2,3,2,0,365,110,0
2,3,1,1,365,111,0
1,2,2,1,365,112,0
1,2,1,1,365,113,0
2,3,2,1,365,114,0
2,2,1,1,365,115,0
2,3,1,0,365,116,0
2,2,2,0,365,117,0
1,2,2,0,365,118,0
1,3,1,0,365,119,0
1,3,2,0,365,120,1
1,2,1,0,365,121,1
1,2,2,1,365,122,0
2,3,1,1,365,123,1
1,2,1,0,365,124,0
1,2,2,1,365,125,0
1,2,2,0,45,1,1
2,2,1,1,45,2,0
2,3,1,1,45,3,1
1,2,2,1,45,4,1
2,3,1,0,45,5,1
2,3,2,1,45,6,0
1,3,2,0,45,7,0
2,3,1,1,45,8,0
2,3,2,0,45,9,0
2,3,1,1,45,10,1
2,3,2,0,45,11,0
2,3,1,0,45,12,1
2,3,1,1,45,13,0
1,2,2,1,45,14,0
1,2,1,0,45,15,1
2,3,2,1,45,16,1
2,3,1,0,45,17,0
1,2,2,1,45,18,1
2,3,1,0,45,19,0
1,3,2,0,45,20,0
2,3,2,0,45,21,0
1,2,1,0,45,22,1
2,3,2,0,45,23,0
2,3,1,1,45,24,0
2,3,2,1,45,25,1
2,3,2,0,45,26,0
2,3,1,0,45,27,1
1,2,2,1,45,28,1
2,3,2,0,45,29,1
2,3,1,0,45,30,0
1,2,2,1,45,31,1
1,2,2,1,45,32,1
1,2,2,0,45,33,0
1,2,2,0,45,34,0
1,2,1,0,45,35,1
2,3,2,0,45,36,0
1,2,2,1,45,37,1
1,2,2,1,45,38,0
2,3,2,1,45,39,0
2,3,1,0,45,40,1
1,2,2,1,45,41,0
1,2,2,0,45,42,0
2,3,1,0,45,43,0
2,3,2,0,45,44,1
1,2,1,0,45,45,1
1,2,2,1,45,46,0
1,3,1,0,45,47,1
2,2,2,1,45,48,0
1,2,1,0,45,49,1
2,3,2,1,45,50,0
1,2,2,1,45,51,0
2,3,2,0,45,52,0
1,3,2,0,45,53,1
2,3,1,0,45,54,0
2,2,2,1,45,55,1
1,2,2,1,45,56,1
2,2,2,0,45,57,0
1,3,1,0,45,58,1
1,2,2,1,45,59,0
1,2,1,1,45,60,0
1,2,2,0,45,61,1
1,2,1,1,45,62,0
1,2,1,1,45,63,1
1,2,2,0,45,64,0
1,2,1,1,45,65,1
1,2,1,0,45,66,1
1,2,2,1,45,67,1
2,3,2,1,45,68,0
1,2,1,0,45,69,0
1,2,2,0,45,70,1
2,3,1,1,45,71,1
2,3,1,0,45,72,0
1,2,2,1,45,73,0
2,3,2,1,45,74,0
2,3,2,1,45,75,1
1,2,2,0,45,76,0
2,3,2,1,45,77,0
2,2,1,1,45,78,1
2,3,1,0,45,79,0
1,3,1,1,45,80,0
2,3,2,1,45,81,0
2,3,1,1,45,82,1
1,2,2,1,45,83,1
1,2,1,0,45,84,0
1,2,2,1,45,85,1
2,3,1,0,45,86,0
2,3,2,1,45,87,1
1,2,2,1,45,88,0
2,3,2,1,45,89,1
2,2,1,0,45,90,0
2,2,2,0,45,91,1
1,2,1,1,45,92,0
1,2,2,1,45,93,1
2,3,2,0,45,94,1
1,3,2,1,45,95,0
2,3,1,0,45,96,1
1,3,2,1,45,97,0
2,3,2,1,45,98,0
2,3,2,0,45,99,1
2,3,2,0,45,100,0
2,3,2,0,45,101,1
2,3,1,1,45,102,0
1,2,2,0,45,103,0
2,3,1,0,45,104,0
1,3,1,1,45,105,0
2,2,1,0,45,106,0
1,2,1,0,45,107,0
1,2,2,0,45,108,1
2,3,1,1,45,109,0
2,3,2,0,45,110,1
1,2,1,0,45,111,0
2,3,1,1,45,112,0
2,3,2,1,45,113,1
2,3,1,1,45,114,0
2,2,2,0,45,115,0
2,3,1,1,45,116,1
1,2,2,1,45,117,0
2,3,1,0,45,118,1
1,2,2,0,45,119,1
2,3,1,0,45,120,1
1,2,2,1,45,121,0
