Action1,S2,Action2,Re,subject,round,rt2
1,2,2,0,13,1,1
1,2,1,0,13,2,1
1,2,2,1,13,3,1
1,2,2,1,13,4,1
1,2,2,0,13,5,1
1,2,2,0,13,6,1
2,3,1,1,13,7,1
2,3,1,0,13,8,1
2,3,1,0,13,9,1
1,2,2,1,13,10,1
1,2,2,0,13,11,1
1,2,1,1,13,12,1
1,2,2,1,13,13,1
2,3,1,0,13,14,1
1,2,2,0,13,15,1
1,3,1,1,13,16,1
2,3,1,0,13,17,1
1,3,1,1,13,18,1
1,2,1,1,13,19,1
1,2,1,1,13,20,1
1,2,1,1,13,21,1
1,2,1,1,13,22,1
1,2,1,0,13,23,1
2,3,1,1,13,24,1
1,2,1,1,13,25,1
2,3,1,1,13,26,1
2,3,1,0,13,27,1
1,2,1,0,13,28,1
1,2,2,1,13,29,1
1,3,1,1,13,30,1
1,2,2,0,13,31,1
2,3,1,0,13,32,1
1,2,2,1,13,33,1
1,2,2,0,13,34,1
2,3,1,1,13,35,1
1,3,1,0,13,36,1
2,2,1,0,13,37,1
1,2,1,0,13,38,1
2,3,1,1,13,39,1
2,3,1,1,13,40,1
1,2,2,1,13,41,1
2,3,1,0,13,42,1
1,3,1,0,13,43,1
2,3,1,1,13,44,1
1,2,2,0,13,45,1
2,3,1,1,13,46,1
2,3,1,0,13,47,1
2,3,1,1,13,48,1
2,2,2,0,13,49,1
1,2,1,1,13,50,1
1,2,1,0,13,51,1
2,2,2,1,13,52,1
1,2,1,1,13,53,1
2,3,1,1,13,54,1
1,2,1,1,13,55,1
2,3,1,0,13,56,1
1,2,2,0,13,57,1
2,3,1,1,13,58,1
1,2,1,0,13,59,1
2,3,1,1,13,60,1
2,2,1,0,13,61,1
1,2,1,0,13,62,1
2,2,2,1,13,63,1
1,2,2,0,13,64,1
2,3,1,1,13,65,1
1,2,2,1,13,66,1
2,2,2,1,13,67,1
2,3,1,1,13,68,1
2,3,1,1,13,69,1
1,3,1,1,13,70,1
2,3,1,1,13,71,1
2,3,1,0,13,72,1
1,2,2,1,13,73,1
1,2,2,1,13,74,1
1,2,2,0,13,75,1
2,3,1,0,13,76,1
1,2,2,1,13,77,1
1,2,2,1,13,78,1
1,2,2,1,13,79,1
1,2,2,1,13,80,1
1,3,1,0,13,81,1
1,2,2,1,13,82,1
1,2,2,1,13,83,1
1,2,2,0,13,84,1
2,3,1,1,13,85,1
2,3,1,0,13,86,1
1,2,2,0,13,87,1
2,2,1,0,13,88,1
2,2,1,0,13,89,1
2,3,1,0,13,90,1
1,2,2,0,13,91,1
2,3,1,1,13,92,1
2,3,1,1,13,93,1
2,3,1,1,13,94,1
2,3,1,0,13,95,1
1,2,2,1,13,96,1
1,2,2,1,13,97,1
1,2,2,0,13,98,1
2,3,1,1,13,99,1
1,3,1,0,13,100,1
2,2,2,0,13,101,1
2,3,1,1,13,102,1
1,2,2,0,13,103,1
2,3,1,0,13,104,1
1,2,2,1,13,105,1
1,2,2,1,13,106,1
2,3,1,0,13,107,1
1,2,2,1,13,108,1
1,2,2,1,13,109,1
1,2,2,0,13,110,1
1,2,2,0,13,111,1
1,3,1,1,13,112,1
2,3,2,1,13,113,1
2,3,2,1,13,114,1
2,3,2,1,13,115,1
2,3,2,1,13,116,1
2,3,2,1,13,117,1
2,3,2,1,13,118,1
2,3,2,1,13,119,1
2,3,2,1,13,120,1
2,3,2,0,13,121,1
2,3,1,1,13,122,1
1,3,2,1,13,123,1
2,3,1,1,13,124,1
1,2,2,0,13,125,1
1,2,1,0,876,1,1
2,3,1,1,876,2,1
2,3,1,0,876,3,1
2,3,1,0,876,4,1
2,3,1,0,876,5,1
1,3,1,1,876,6,1
1,2,2,0,876,7,1
1,2,1,0,876,8,1
1,2,1,1,876,9,1
1,2,1,1,876,10,1
1,2,1,0,876,11,1
1,2,1,1,876,12,1
1,2,1,0,876,13,1
1,3,1,0,876,14,1
1,3,1,0,876,15,1
1,2,1,1,876,16,1
1,2,1,0,876,17,1
1,2,1,1,876,18,1
1,2,1,0,876,19,1
2,3,2,0,876,20,1
1,2,1,1,876,21,1
1,2,1,1,876,22,1
1,2,1,1,876,23,1
1,2,1,1,876,24,1
2,2,1,1,876,25,1
1,2,1,1,876,26,1
1,2,1,1,876,27,1
1,3,1,1,876,28,1
1,2,1,0,876,29,1
1,2,1,1,876,30,1
