Action1,S2,Action2,Re,subject,round,rt2
2,3,1,-3,2031,1,0
2,3,2,0,2031,2,0
2,3,2,-3,2031,3,0
2,3,2,-4,2031,4,0
2,2,1,3,2031,5,1
2,3,1,4,2031,6,0
1,2,1,-1,2031,7,0
1,2,1,1,2031,8,0
1,3,2,-4,2031,9,1
1,2,1,0,2031,10,1
1,3,2,-2,2031,11,1
1,2,1,1,2031,12,1
1,2,1,4,2031,13,0
1,2,1,5,2031,14,1
1,2,1,5,2031,15,0
1,2,1,5,2031,16,1
1,2,1,5,2031,17,1
1,3,1,-1,2031,18,0
1,2,1,2,2031,19,1
1,2,1,2,2031,20,1
1,2,2,-3,2031,21,1
1,2,1,2,2031,22,1
1,3,2,1,2031,23,1
1,2,1,-1,2031,24,1
1,2,1,-2,2031,25,1
1,2,2,1,2031,26,1
1,2,1,0,2031,27,0
1,2,1,2,2031,28,1
1,2,1,2,2031,29,0
1,2,1,5,2031,30,1
1,2,1,5,2031,31,1
1,3,2,-5,2031,32,1
1,2,1,5,2031,33,0
1,2,1,4,2031,34,1
1,2,1,3,2031,35,0
1,2,1,5,2031,36,0
1,2,2,-5,2031,37,1
1,2,1,2,2031,38,1
1,2,1,3,2031,39,0
1,2,1,3,2031,40,0
1,2,1,4,2031,41,1
1,3,1,1,2031,42,0
1,3,1,4,2031,43,0
1,2,1,4,2031,44,0
1,2,1,2,2031,45,1
1,3,1,5,2031,46,0
1,3,1,3,2031,47,1
1,2,1,3,2031,48,0
1,2,1,2,2031,49,1
1,2,1,1,2031,50,1
1,2,1,-1,2031,51,1
1,2,1,-2,2031,52,0
1,2,1,-2,2031,53,0
2,3,1,1,2031,54,1
1,2,1,-3,2031,55,1
2,3,1,5,2031,56,0
2,2,1,-4,2031,57,1
2,3,2,0,2031,58,1
2,3,1,3,2031,59,0
2,3,1,0,2031,60,0
2,3,2,0,2031,61,1
1,2,1,2,2031,62,0
2,3,1,1,2031,63,1
2,3,1,0,2031,64,1
2,2,1,2,2031,65,0
1,3,2,2,2031,66,1
2,3,1,0,2031,67,1
2,3,1,1,2031,68,0
2,3,1,0,2031,69,0
2,3,1,-1,2031,70,1
1,2,2,-5,2031,71,1
1,2,2,-3,2031,72,1
2,2,2,-1,2031,73,1
1,2,1,-2,2031,74,0
1,2,1,0,2031,75,1
1,2,1,-2,2031,76,0
2,3,1,1,2031,77,0
2,3,1,2,2031,78,0
2,3,2,2,2031,79,1
2,3,1,2,2031,80,0
2,3,2,2,2031,81,1
2,3,1,4,2031,82,0
2,3,1,4,2031,83,0
2,3,1,5,2031,84,1
2,3,1,5,2031,85,0
2,3,2,-4,2031,86,1
2,3,1,2,2031,87,0
2,2,1,3,2031,88,0
2,3,1,2,2031,89,1
2,3,1,1,2031,90,0
2,2,1,3,2031,91,0
2,3,1,1,2031,92,1
2,3,2,2,2031,93,1
2,3,1,2,2031,94,1
1,2,1,5,2031,95,0
2,2,1,4,2031,96,1
2,2,1,4,2031,97,0
2,3,1,0,2031,98,1
1,3,1,0,2031,99,0
2,3,1,-1,2031,100,0
1,2,1,2,2031,101,1
1,2,1,-1,2031,102,1
1,3,1,-1,2031,103,0
1,2,1,-1,2031,104,0
2,3,2,3,2031,105,1
1,2,1,0,2031,106,0
1,2,1,3,2031,107,0
1,2,2,2,2031,108,1
1,3,1,-3,2031,109,1
1,2,1,2,2031,110,0
1,3,2,4,2031,111,1
1,2,1,4,2031,112,1
1,2,2,1,2031,113,1
2,3,1,-3,2031,114,0
2,3,2,4,2031,115,1
2,2,1,-2,2031,116,1
1,2,1,1,2031,117,1
2,3,1,-3,2031,118,1
1,2,1,-3,2031,119,0
1,2,2,1,2031,120,1
1,3,1,1,2031,121,0
2,3,2,3,2031,122,1
1,2,1,-4,2031,123,1
2,3,2,0,2031,124,0
2,3,2,0,2031,125,1
1,2,1,2,4655,1,0
1,3,1,-1,4655,2,0
1,3,1,-1,4655,3,0
1,2,1,4,4655,4,1
2,3,1,-4,4655,5,0
1,2,1,4,4655,6,0
1,2,1,5,4655,7,0
1,3,1,-3,4655,8,0
1,2,1,5,4655,9,1
1,2,1,5,4655,10,0
1,2,1,3,4655,11,0
1,2,1,1,4655,12,1
1,2,1,0,4655,13,1
1,3,1,-5,4655,14,1
2,3,1,-3,4655,15,0
1,2,1,1,4655,16,0
2,3,1,-2,4655,17,1
1,2,1,0,4655,18,1
1,2,1,0,4655,19,1
1,3,1,4,4655,20,0
1,2,1,-1,4655,21,0
2,3,1,4,4655,22,0
2,3,1,4,4655,23,1
2,3,1,4,4655,24,1
2,3,1,4,4655,25,1
1,2,1,1,4655,26,0
2,3,1,-4,4655,27,1
1,3,1,-4,4655,28,1
1,2,1,0,4655,29,0
1,2,1,1,4655,30,0
1,2,1,-1,4655,31,1
2,2,1,-1,4655,32,1
1,2,1,-2,4655,33,0
1,2,1,1,4655,34,0
1,2,1,2,4655,35,1
1,3,1,4,4655,36,0
1,2,1,4,4655,37,0
1,2,1,5,4655,38,1
1,2,2,4,4655,39,1
1,2,1,1,4655,40,1
1,2,1,-1,4655,41,0
2,3,1,5,4655,42,0
1,2,1,2,4655,43,1
1,2,2,1,4655,44,0
1,2,1,3,4655,45,1
1,2,1,4,4655,46,0
2,3,1,-1,4655,47,0
1,2,1,1,4655,48,1
1,2,1,1,4655,49,0
1,2,1,-1,4655,50,0
1,2,1,0,4655,51,0
1,3,1,-3,4655,52,1
1,3,1,-2,4655,53,1
1,2,1,-5,4655,54,0
1,2,1,-5,4655,55,0
1,3,2,5,4655,56,0
2,2,2,4,4655,57,0
2,3,2,5,4655,58,1
1,2,2,4,4655,59,1
1,3,2,5,4655,60,1
2,2,2,4,4655,61,1
1,2,2,5,4655,62,0
2,3,2,0,4655,63,1
2,3,2,2,4655,64,0
2,3,1,2,4655,65,1
1,3,2,-1,4655,66,0
2,3,1,3,4655,67,0
1,2,2,-1,4655,68,1
1,2,2,-2,4655,69,1
2,3,1,1,4655,70,1
1,2,2,-3,4655,71,1
2,3,1,1,4655,72,1
1,2,2,-4,4655,73,0
2,3,1,-5,4655,74,0
2,3,1,-5,4655,75,0
2,3,2,0,4655,76,0
1,2,2,-4,4655,77,0
2,3,2,2,4655,78,1
2,3,2,3,4655,79,1
2,3,2,0,4655,80,0
2,3,2,-4,4655,81,1
1,2,2,-1,4655,82,0
1,2,2,-3,4655,83,1
2,3,1,4,4655,84,1
2,2,1,4,4655,85,0
1,2,1,4,4655,86,0
1,2,1,1,4655,87,1
2,3,2,-2,4655,88,1
1,2,1,5,4655,89,1
2,3,1,1,4655,90,0
1,2,1,2,4655,91,0
1,2,1,1,4655,92,0
2,3,1,3,4655,93,1
1,3,1,-1,4655,94,0
1,3,2,-1,4655,95,1
1,2,1,0,4655,96,0
1,3,2,-3,4655,97,1
2,3,1,3,4655,98,1
2,3,1,5,4655,99,0
2,3,1,5,4655,100,1
2,3,1,4,4655,101,1
2,3,1,3,4655,102,0
2,3,1,3,4655,103,0
1,2,1,5,4655,104,0
2,3,1,5,4655,105,1
2,3,1,3,4655,106,1
2,3,1,4,4655,107,0
2,3,1,4,4655,108,1
2,3,2,-5,4655,109,1
2,3,1,5,4655,110,0
2,3,1,2,4655,111,1
1,2,1,4,4655,112,0
2,3,1,2,4655,113,1
1,2,1,1,4655,114,1
1,2,1,-2,4655,115,0
1,2,2,3,4655,116,1
