Action1,S2,Action2,Re,subject,round,rt2
2,3,1,4,412,1,1
2,2,2,-1,412,2,0
2,3,1,3,412,3,0
1,2,1,-3,412,4,1
1,2,2,2,412,5,0
1,3,1,4,412,6,1
1,2,1,-4,412,7,1
1,2,1,-4,412,8,1
1,2,1,-3,412,9,0
1,2,1,-2,412,10,1
1,3,1,-4,412,11,1
1,2,1,1,412,12,1
2,3,1,-1,412,13,1
2,3,2,-1,412,14,0
2,3,1,-5,412,15,0
2,2,1,2,412,16,0
2,3,2,1,412,17,0
2,3,2,2,412,18,1
2,3,1,-3,412,19,1
2,2,1,2,412,20,1
2,3,1,-2,412,21,1
2,3,1,-2,412,22,1
1,2,2,-1,412,23,1
1,3,2,0,412,24,1
1,3,2,1,412,25,0
1,2,2,-3,412,26,0
1,2,1,0,412,27,1
2,3,2,1,412,28,0
2,3,1,-4,412,29,1
2,3,2,3,412,30,1
2,3,1,-3,412,31,1
2,3,1,-5,412,32,1
2,3,1,-3,412,33,1
2,2,1,0,412,34,1
1,3,1,-4,412,35,0
1,3,1,-4,412,36,0
1,2,1,1,412,37,0
2,3,2,4,412,38,0
1,2,2,-2,412,39,1
2,2,2,-1,412,40,1
1,2,2,-1,412,41,1
1,3,2,2,412,42,1
1,3,2,1,412,43,1
2,3,1,-4,412,44,1
1,2,1,3,412,45,1
1,2,2,0,412,46,1
1,2,2,-1,412,47,1
1,2,2,-1,412,48,1
1,3,2,2,412,49,1
1,2,2,-1,412,50,1
1,2,2,0,412,51,1
1,2,2,2,412,52,1
1,2,2,1,412,53,0
1,2,2,1,412,54,0
2,3,1,4,412,55,1
2,2,1,-2,412,56,0
2,3,1,0,412,57,1
1,2,1,1,412,58,0
1,2,1,0,412,59,0
1,3,1,2,412,60,0
1,2,1,-1,412,61,0
1,2,1,-2,412,62,1
2,3,1,3,412,63,0
2,3,1,3,412,64,0
1,2,1,-2,412,65,0
2,3,2,5,412,66,0
1,3,2,4,412,67,1
2,2,1,-3,412,68,0
1,3,1,3,412,69,0
2,3,2,3,412,70,0
1,3,2,2,412,71,1
2,3,1,2,412,72,0
1,2,2,-3,412,73,1
1,2,1,-3,412,74,1
1,2,1,-4,412,75,1
2,3,1,-1,412,76,0
2,3,2,0,412,77,1
2,2,2,-4,412,78,0
1,2,1,0,412,79,0
1,2,1,-4,412,80,1
1,2,2,3,412,81,1
1,2,2,3,412,82,1
1,2,2,5,412,83,0
1,2,1,0,412,84,1
1,2,2,3,412,85,1
2,2,2,3,412,86,0
1,2,2,1,412,87,1
1,2,2,-1,412,88,1
2,3,1,1,412,89,1
1,2,2,-1,412,90,0
1,2,1,-3,412,91,0
2,3,1,3,412,92,0
2,3,2,-4,412,93,0
2,3,2,-4,412,94,1
2,3,2,-5,412,95,1
1,3,1,2,412,96,0
1,2,1,-4,412,97,1
1,2,1,-3,412,98,1
1,2,1,-1,412,99,1
1,3,1,4,412,100,1
1,3,1,4,412,101,1
1,2,1,-3,412,102,1
1,2,2,0,412,103,1
1,2,2,0,412,104,1
1,2,1,-3,412,105,1
1,2,1,-3,412,106,1
1,2,1,-2,412,107,1
2,2,2,2,412,108,0
2,3,2,4,412,109,1
2,3,2,3,412,110,1
2,3,1,3,412,111,0
2,2,1,-4,412,112,0
1,2,2,0,412,113,0
1,2,2,1,412,114,0
1,2,2,1,412,115,0
1,2,2,5,412,116,0
2,3,2,0,412,117,0
2,3,1,-3,412,118,0
1,2,1,-5,412,119,0
1,2,1,-5,412,120,0
1,2,1,-4,412,121,0
1,2,2,-1,412,122,1
1,2,1,-3,412,123,1
1,2,1,-3,412,124,1
1,2,1,-3,412,125,0
2,3,1,2,472,1,0
2,3,2,-5,472,2,1
2,3,1,2,472,3,1
2,2,2,1,472,4,1
2,3,1,4,472,5,0
2,3,2,-3,472,6,1
1,2,1,-3,472,7,1
2,3,2,-5,472,8,1
2,2,2,0,472,9,1
2,3,2,-2,472,10,1
1,2,2,2,472,11,1
2,3,1,2,472,12,1
2,3,1,1,472,13,1
2,3,1,2,472,14,1
2,2,2,3,472,15,1
2,3,1,0,472,16,0
2,3,1,0,472,17,0
1,2,1,3,472,18,0
2,3,1,-2,472,19,0
2,2,1,5,472,20,0
2,3,1,-1,472,21,1
2,3,1,-2,472,22,1
2,3,1,1,472,23,0
1,2,1,0,472,24,0
2,3,2,-3,472,25,1
2,2,1,-4,472,26,0
1,3,1,-2,472,27,0
2,3,2,-3,472,28,0
2,3,1,0,472,29,0
2,3,1,1,472,30,1
2,3,2,-4,472,31,1
2,3,1,2,472,32,0
1,2,2,-4,472,33,1
2,3,1,5,472,34,0
2,3,1,2,472,35,1
2,3,1,2,472,36,0
2,3,1,4,472,37,0
2,3,1,4,472,38,1
2,3,1,4,472,39,1
1,2,2,4,472,40,0
2,3,1,4,472,41,1
2,3,1,1,472,42,0
2,2,2,2,472,43,1
1,3,1,0,472,44,1
2,3,1,3,472,45,1
2,2,1,3,472,46,0
2,3,1,1,472,47,1
2,2,1,4,472,48,0
2,2,2,-3,472,49,1
2,2,1,4,472,50,0
1,2,1,2,472,51,0
2,3,1,3,472,52,0
2,3,2,-3,472,53,1
2,2,1,2,472,54,0
1,2,2,1,472,55,1
2,3,1,2,472,56,0
2,3,1,-1,472,57,1
