"subject","version","rt1","key1","Action1","rt2","key2","Action2","Re","common","S2","score","practice","reverse_mapping_1","reverse_mapping_2","rews1a1","rews1a2","rews2a1","rews2a2","timeouts","round","time_elapsed","stamp"
"17","dez_2step_v1",6585,70,1,1844,70,1,-4,1,2,-4,1,0,0,-4,0,2,-3,0,0,153635,"7/31/16 17:33"
"17","dez_2step_v1",2111,74,2,950,70,1,-3,0,2,-7,1,0,0,-3,-1,2,1,0,1,163240,"7/31/16 17:33"
"17","dez_2step_v1",800,70,1,537,74,2,-1,1,2,-8,1,0,0,-4,-1,2,2,0,2,171173,"7/31/16 17:33"
"17","dez_2step_v1",974,74,2,2044,70,1,3,1,3,-5,1,0,0,-4,-1,3,3,0,3,180759,"7/31/16 17:33"
"17","dez_2step_v1",623,74,2,851,74,2,2,1,3,-3,1,0,0,-4,3,4,2,0,4,188882,"7/31/16 17:33"
"17","dez_2step_v1",647,74,2,1129,70,1,-3,0,2,-6,1,0,0,-3,3,3,3,0,5,197254,"7/31/16 17:33"
"17","dez_2step_v1",86064,74,2,919,74,2,4,1,3,-2,1,0,0,-1,5,2,4,0,6,290924,"7/31/16 17:33"
"17","dez_2step_v1",695,74,2,605,74,2,3,1,3,1,1,0,0,-2,2,1,3,0,7,298797,"7/31/16 17:33"
"17","dez_2step_v1",568,74,2,623,70,1,2,1,3,3,1,0,0,-2,2,2,2,0,8,306581,"7/31/16 17:33"
"17","dez_2step_v1",86439,74,2,411,74,2,0,1,3,3,1,0,0,1,2,2,0,0,9,400014,"7/31/16 17:33"
"17","dez_2step_v1",4310,74,2,557,70,1,-1,1,3,2,1,0,0,1,0,-1,-1,0,10,411511,"7/31/16 17:33"
"17","dez_2step_v1",2732,70,1,681,70,1,3,1,2,5,1,0,0,3,2,-4,-3,0,11,421500,"7/31/16 17:33"
"17","dez_2step_v1",11319,70,1,513,74,2,0,1,2,5,1,0,0,4,0,-1,-3,0,12,439897,"7/31/16 17:33"
"17","dez_2step_v1",523,70,1,410,70,1,2,0,3,7,1,0,0,4,-1,2,-1,0,13,447387,"7/31/16 17:33"
"17","dez_2step_v1",772,70,1,657,70,1,5,1,2,12,1,0,0,5,-2,2,0,0,14,455377,"7/31/16 17:33"
