subject,time_elapsed,reading_time,check1,check2,check3,belief1,belief2,belief3,stamp
62,1193433,131420,0,1,2,3,0,0,8/17/17 16:16
42,1144907,79442,0,1,2,3,1,0,8/17/17 16:16
73,1170239,70723,0,1,2,2,0,0,8/17/17 16:17
230,1230911,47104,1,1,0,1,0,0,8/17/17 16:17
81,1285420,151349,0,1,2,1,0,0,8/17/17 16:17
172,1282385,199853,0,1,2,2,0,0,8/17/17 16:18
212,1233990,137566,0,1,2,2,0,0,8/17/17 16:18
118,1289417,152785,0,1,2,2,0,0,8/17/17 16:18
16,1130570,40973,3,0,0,2,0,1,8/17/17 16:18
192,1225437,68985,0,3,1,0,0,0,8/17/17 16:18
263,1254917,132009,3,1,2,3,0,1,8/17/17 16:18
195,1244785,57315,0,1,1,3,1,0,8/17/17 16:18
44,1259769,92570,0,1,2,3,1,1,8/17/17 16:18
52,1287562,118597,0,1,3,2,0,1,8/17/17 16:18
74,1274224,153379,0,1,2,3,0,0,8/17/17 16:18
90,1273206,144699,0,1,2,2,0,0,8/17/17 16:19
140,1310453,98197,0,1,2,1,0,1,8/17/17 16:19
278,1293637,197160,0,1,2,2,0,0,8/17/17 16:19
175,1271104,153263,0,1,2,2,0,0,8/17/17 16:19
130,1336941,165146,0,1,2,1,0,0,8/17/17 16:19
145,1289392,119519,0,1,2,3,0,0,8/17/17 16:19
117,1323199,180490,0,1,2,2,0,1,8/17/17 16:19
38,1302150,158077,0,1,2,0,1,1,8/17/17 16:19
102,1251855,173072,0,1,2,0,1,1,8/17/17 16:19
297,1279377,207190,0,1,2,3,0,0,8/17/17 16:19
271,1252357,189334,0,1,2,1,0,0,8/17/17 16:19
184,1197639,149106,0,1,2,2,0,0,8/17/17 16:19
4,1432885,132017,1,1,1,2,1,1,8/17/17 16:19
98,1283350,169844,0,1,2,3,0,0,8/17/17 16:20
283,1344372,146907,0,1,2,2,0,0,8/17/17 16:20
5,1390837,181249,0,1,2,0,0,1,8/17/17 16:20
37,1374046,214670,0,1,2,1,0,0,8/17/17 16:20
170,1449144,271471,2,1,0,2,1,1,8/17/17 16:20
8,1273307,111628,0,2,2,0,0,0,8/17/17 16:20
244,1383169,104649,2,2,2,2,1,1,8/17/17 16:20
69,1334714,233535,0,1,2,1,0,0,8/17/17 16:20
165,1391417,88764,0,1,2,3,0,0,8/17/17 16:20
249,1391569,214711,0,1,2,3,0,0,8/17/17 16:20
55,1394771,253179,1,1,2,3,0,0,8/17/17 16:20
273,1310095,167101,0,1,3,3,0,0,8/17/17 16:20
53,1427909,73442,0,1,2,3,0,0,8/17/17 16:21
163,1418071,312580,-1,1,2,3,0,0,8/17/17 16:21
215,1223305,39697,1,1,1,2,0,1,8/17/17 16:21
235,1446665,282297,0,1,2,3,0,0,8/17/17 16:21
279,1244345,103718,0,1,2,1,0,0,8/17/17 16:21
149,1271194,78019,2,1,2,1,1,1,8/17/17 16:21
116,1381587,222728,0,1,2,3,0,0,8/17/17 16:21
257,1452776,144147,0,1,2,3,0,0,8/17/17 16:21
127,1431739,196610,0,1,2,2,0,0,8/17/17 16:22
248,1455018,230872,0,1,2,3,0,0,8/17/17 16:22
65,1354759,61407,-1,0,1,1,0,0,8/17/17 16:22
218,1428119,160400,0,1,2,2,0,0,8/17/17 16:22
134,1476717,196858,0,1,2,3,0,0,8/17/17 16:22
51,1370080,49790,3,0,1,0,1,0,8/17/17 16:22
14,1197656,165613,0,1,2,2,0,0,8/17/17 16:22
243,1485300,243260,1,1,2,2,0,1,8/17/17 16:22
206,1470730,405945,0,1,2,3,0,0,8/17/17 16:22
75,1446538,196992,0,1,2,3,0,0,8/17/17 16:22
179,1474804,161610,0,1,2,3,0,0,8/17/17 16:22
154,1481199,275126,0,1,2,2,1,1,8/17/17 16:22
252,1121318,77112,0,1,2,1,0,0,8/17/17 16:22
40,1540634,306998,0,1,2,2,0,0,8/17/17 16:22
164,1510911,248849,0,1,2,2,0,0,8/17/17 16:23
199,1289513,187387,0,1,2,2,0,0,8/17/17 16:23
61,1483799,277776,0,1,2,0,0,0,8/17/17 16:23
108,1599962,441384,0,1,2,3,0,0,8/17/17 16:23
95,1533047,141947,0,1,2,3,1,1,8/17/17 16:23
45,1550662,193962,2,1,2,2,1,1,8/17/17 16:23
87,1543214,256669,0,1,2,3,0,0,8/17/17 16:23
86,1497775,342315,0,-1,2,3,0,0,8/17/17 16:23
203,1501514,284335,0,1,2,1,0,0,8/17/17 16:23
30,1287946,117891,1,1,2,2,0,0,8/17/17 16:23
289,1539276,274931,0,1,2,0,1,1,8/17/17 16:23
22,1556484,264764,0,2,2,2,0,0,8/17/17 16:23
258,1442677,257663,1,1,2,3,0,0,8/17/17 16:23
101,1615270,218108,0,1,2,0,0,0,8/17/17 16:23
217,1564968,364989,0,1,2,1,0,1,8/17/17 16:23
224,1493927,242289,1,1,2,2,0,0,8/17/17 16:23
173,1531589,286232,2,1,2,2,0,1,8/17/17 16:24
12,1185652,133870,0,1,2,3,0,0,8/17/17 16:24
21,1628300,147042,1,1,2,2,0,0,8/17/17 16:24
26,1613500,112490,3,0,1,3,1,1,8/17/17 16:24
161,1615472,304221,0,1,2,1,0,0,8/17/17 16:24
254,1458449,273989,2,0,2,3,1,0,8/17/17 16:24
3,1617215,343568,2,3,2,2,0,1,8/17/17 16:25
29,1705755,327370,0,1,2,3,0,0,8/17/17 16:25
39,1679159,363519,2,1,2,0,0,0,8/17/17 16:25
111,1665617,445053,0,1,2,2,0,1,8/17/17 16:25
285,1588285,413444,0,1,2,3,0,0,8/17/17 16:26
159,1768494,126786,2,0,1,0,1,1,8/17/17 16:26
237,1675494,432613,0,1,2,4,0,0,8/17/17 16:26
138,1773470,406054,0,1,2,2,1,1,8/17/17 16:26
264,1717220,240420,0,1,2,3,0,0,8/17/17 16:26
23,1159992,107738,1,1,2,3,0,0,8/17/17 16:26
77,1752601,473909,3,1,0,3,0,1,8/17/17 16:27
268,1761541,408351,0,1,2,3,0,0,8/17/17 16:27
115,1708164,407561,0,1,2,3,0,1,8/17/17 16:27
148,1802770,503171,0,1,2,2,0,0,8/17/17 16:27
132,1766673,507476,0,1,2,3,0,0,8/17/17 16:27
60,1562758,329014,0,1,2,2,0,0,8/17/17 16:27
176,1339442,52673,0,1,2,2,0,1,8/17/17 16:27
114,1391016,187853,0,1,2,3,0,1,8/17/17 16:28
136,1849984,295647,0,1,2,2,0,0,8/17/17 16:28
7,1816326,694459,0,1,2,3,0,0,8/17/17 16:29
43,1615140,245390,0,1,2,1,0,0,8/17/17 16:29
266,1283989,218687,0,1,2,2,0,0,8/17/17 16:29
162,1876111,538854,0,1,2,3,0,1,8/17/17 16:29
228,1720201,66737,0,1,1,2,1,1,8/17/17 16:29
36,1938944,199891,3,1,2,3,0,0,8/17/17 16:29
274,1365119,197174,0,1,2,2,0,0,8/17/17 16:29
236,1945888,544718,0,1,2,2,1,1,8/17/17 16:30
293,1295010,90653,0,1,2,2,0,1,8/17/17 16:30
151,1338894,195901,0,1,2,3,0,0,8/17/17 16:31
63,1337282,220033,0,1,0,3,1,1,8/17/17 16:31
1,1665409,385450,0,1,2,3,0,0,8/17/17 16:31
123,1089687,67217,0,1,2,0,1,1,8/17/17 16:31
66,1365850,124817,0,1,2,3,0,0,8/17/17 16:31
57,1446819,196676,0,1,2,3,0,0,8/17/17 16:31
126,1751251,330693,0,1,2,2,0,1,8/17/17 16:31
286,1414113,233418,0,1,2,2,1,0,8/17/17 16:32
85,1361989,163646,0,1,2,0,1,0,8/17/17 16:32
182,1773554,228646,1,1,2,0,1,1,8/17/17 16:32
298,1790843,175797,2,1,2,2,0,0,8/17/17 16:32
156,1459802,111057,3,2,1,2,1,1,8/17/17 16:32
68,1237127,29008,1,0,0,1,0,0,8/17/17 16:32
221,2012504,526428,0,1,2,4,0,0,8/17/17 16:33
146,1396062,124299,0,1,2,0,0,1,8/17/17 16:33
208,1848230,191382,0,1,2,1,1,0,8/17/17 16:33
